candidate_group,descriptor,overall_train_mean,train_top100_mean,candidate_mean,candidate_z_vs_overall,distance_to_train_top100,improvement_toward_train_top100
optimized_shortlist,MolLogP_mean,0.7863577876251977,0.7916126666666667,0.7772694444444445,-0.052466823137142085,0.014343222222222285,-0.009088343180753244
de_novo_shortlist,MolLogP_mean,0.7863577876251977,0.7916126666666667,0.7884215277777779,0.011913930562805543,0.003191138888888889,0.0020637401525801513
optimized_shortlist,TPSA_mean,25.911305021085926,24.332283333333336,25.193333333333328,-0.25484807023959627,0.8610499999999917,0.7179716877525983
de_novo_shortlist,TPSA_mean,25.911305021085926,24.332283333333336,22.62958333333333,-1.1648654862771832,1.7027000000000072,-0.12367831224741721
optimized_shortlist,FractionCSP3_mean,0.7159856925924926,0.7521905362316665,0.7121031745,-0.049593565539550244,0.04008736173166649,-0.003882518092492515
de_novo_shortlist,FractionCSP3_mean,0.7159856925924926,0.7521905362316665,0.7938740078333334,0.9949108219562628,0.041683471601666855,-0.005478627962492877
optimized_shortlist,qed_mean,0.5562419630929537,0.547592552905,0.5623064939166668,0.23660106726166918,0.014713941011666787,-0.006064530823713055
de_novo_shortlist,qed_mean,0.5562419630929537,0.547592552905,0.5341373938402777,-0.8623857027971268,0.013455159064722277,-0.004805748876768545
optimized_shortlist,n_methyl_ratio,0.19939377965208224,0.41666666666666674,0.27777777777777773,0.47549812768276073,0.138888888888889,0.07838399812569549
de_novo_shortlist,n_methyl_ratio,0.19939377965208224,0.41666666666666674,0.45138888888888884,1.5286691862179251,0.0347222222222221,0.1825506647923624
optimized_shortlist,d_ratio,0.2196340713407134,0.13166666666666665,0.16666666666666666,-0.33833095640623384,0.035,0.05296740467404673
de_novo_shortlist,d_ratio,0.2196340713407134,0.13166666666666665,0.07638888888888885,-0.9149830896520793,0.0552777777777778,0.032689626896268933
optimized_shortlist,aromatic_ratio,0.14291205412054123,0.11999999999999998,0.16666666666666657,0.19799157805803777,0.04666666666666659,-0.023754612546125348
de_novo_shortlist,aromatic_ratio,0.14291205412054123,0.11999999999999998,0.07638888888888885,-0.5544618518216494,0.04361111111111113,-0.020699056990569883
